Neighborhoods,WithALSUnit,WithoutALSUnit
Tenderloin,31323,14496
South of Market,24922,10034
Mission,19837,8901
Financial District/South Beach,14675,7783
Bayview Hunters Point,11401,5265
Sunset/Parkside,6924,4361
Western Addition,6670,3949
Nob Hill,5575,4763
Hayes Valley,4974,2926
Castro/Upper Market,4937,2965
West of Twin Peaks,4850,2196
Excelsior,4705,1458
Outer Richmond,4486,3163
Marina,3646,2580
Chinatown,3627,2014
Bernal Heights,3524,1851
North Beach,3394,2951
Lakeshore,3357,1812
Pacific Heights,3196,3503
Outer Mission,3183,1092
Mission Bay,3118,2239
Potrero Hill,2891,2753
Oceanview/Merced/Ingleside,2688,1191
Inner Sunset,2422,2197
Haight Ashbury,2395,1741
Visitacion Valley,2305,987
Inner Richmond,2234,1804
Russian Hill,2221,2447
Portola,2137,708
Lone Mountain/USF,2117,1516
Noe Valley,1885,1317
Japantown,1740,1039
Presidio Heights,1515,1016
Twin Peaks,1126,753
Glen Park,1077,529
Golden Gate Park,943,646
Treasure Island,306,158
Seacliff,280,247
McLaren Park,256,178
Presidio,233,215
Lincoln Park,147,185
