CallType	Neighborhoood	Count
Potentially Life-Threatening	Western Addition	2309
Potentially Life-Threatening	West of Twin Peaks	1331
Potentially Life-Threatening	Visitacion Valley	762
Potentially Life-Threatening	Twin Peaks	375
Potentially Life-Threatening	Treasure Island	53
Potentially Life-Threatening	Tenderloin	11430
Potentially Life-Threatening	Sunset/Parkside	2342
Potentially Life-Threatening	South of Market	8888
Potentially Life-Threatening	Seacliff	68
Potentially Life-Threatening	Russian Hill	798
Potentially Life-Threatening	Presidio Heights	424
Potentially Life-Threatening	Presidio	29
Potentially Life-Threatening	Potrero Hill	1016
Potentially Life-Threatening	Portola	634
Potentially Life-Threatening	Pacific Heights	1152
Potentially Life-Threatening	Outer Richmond	1419
Potentially Life-Threatening	Outer Mission	917
Potentially Life-Threatening	Oceanview/Merced/Ingleside	856
Potentially Life-Threatening	North Beach	1228
Potentially Life-Threatening	Noe Valley	505
Potentially Life-Threatening	Nob Hill	2018
Potentially Life-Threatening	Mission Bay	987
Potentially Life-Threatening	Mission	6493
Potentially Life-Threatening	McLaren Park	47
Potentially Life-Threatening	Marina	1024
Potentially Life-Threatening	Lone Mountain/USF	691
Potentially Life-Threatening	Lincoln Park	34
Potentially Life-Threatening	Lakeshore	822
Potentially Life-Threatening	Japantown	650
Potentially Life-Threatening	Inner Sunset	815
Potentially Life-Threatening	Inner Richmond	709
Potentially Life-Threatening	Hayes Valley	1666
Potentially Life-Threatening	Haight Ashbury	796
Potentially Life-Threatening	Golden Gate Park	269
Potentially Life-Threatening	Glen Park	316
Potentially Life-Threatening	Financial District/South Beach	4409
Potentially Life-Threatening	Excelsior	1464
Potentially Life-Threatening	Chinatown	1126
Potentially Life-Threatening	Castro/Upper Market	1629
Potentially Life-Threatening	Bernal Heights	1008
Potentially Life-Threatening	Bayview Hunters Point	3462
Non Life-threatening	Western Addition	1737
Non Life-threatening	West of Twin Peaks	1249
Non Life-threatening	Visitacion Valley	539
Non Life-threatening	Twin Peaks	295
Non Life-threatening	Treasure Island	67
Non Life-threatening	Tenderloin	8088
Non Life-threatening	Sunset/Parkside	1948
Non Life-threatening	South of Market	6526
Non Life-threatening	Seacliff	53
Non Life-threatening	Russian Hill	679
Non Life-threatening	Presidio Heights	382
Non Life-threatening	Presidio	37
Non Life-threatening	Potrero Hill	815
Non Life-threatening	Portola	537
Non Life-threatening	Pacific Heights	931
Non Life-threatening	Outer Richmond	1136
Non Life-threatening	Outer Mission	845
Non Life-threatening	Oceanview/Merced/Ingleside	593
Non Life-threatening	North Beach	1035
Non Life-threatening	Noe Valley	432
Non Life-threatening	Nob Hill	1563
Non Life-threatening	Mission Bay	955
Non Life-threatening	Mission	5561
Non Life-threatening	McLaren Park	49
Non Life-threatening	Marina	814
Non Life-threatening	Lone Mountain/USF	614
Non Life-threatening	Lincoln Park	27
Non Life-threatening	Lakeshore	854
Non Life-threatening	Japantown	469
Non Life-threatening	Inner Sunset	645
Non Life-threatening	Inner Richmond	631
Non Life-threatening	Hayes Valley	1200
Non Life-threatening	Haight Ashbury	702
Non Life-threatening	Golden Gate Park	301
Non Life-threatening	Glen Park	214
Non Life-threatening	Financial District/South Beach	3673
Non Life-threatening	Excelsior	999
Non Life-threatening	Chinatown	1046
Non Life-threatening	Castro/Upper Market	1602
Non Life-threatening	Bernal Heights	914
Non Life-threatening	Bayview Hunters Point	2565
Fire	Western Addition	95
Fire	West of Twin Peaks	55
Fire	Visitacion Valley	38
Fire	Twin Peaks	18
Fire	Treasure Island	39
Fire	Tenderloin	220
Fire	Sunset/Parkside	112
Fire	South of Market	218
Fire	Seacliff	11
Fire	Russian Hill	41
Fire	Presidio Heights	16
Fire	Presidio	25
Fire	Potrero Hill	133
Fire	Portola	35
Fire	Pacific Heights	53
Fire	Outer Richmond	98
Fire	Outer Mission	43
Fire	Oceanview/Merced/Ingleside	41
Fire	North Beach	56
Fire	Noe Valley	26
Fire	Nob Hill	77
Fire	Mission Bay	97
Fire	Mission	399
Fire	McLaren Park	19
Fire	Marina	48
Fire	Lone Mountain/USF	24
Fire	Lincoln Park	12
Fire	Lakeshore	61
Fire	Japantown	12
Fire	Inner Sunset	29
Fire	Inner Richmond	36
Fire	Hayes Valley	110
Fire	Haight Ashbury	57
