Call Type Group,Neighborhoods,Avg Received to Dispatch Wait Time,Avg Dispatch to Response Wait Time,Avg Response to On Scene Wait Time,Avg On Scene Wait Time
Alarm,Bayview Hunters Point,2.5565186584789794,1.517233506534404,4.341843804125334,8.415595969138717
Alarm,Bernal Heights,2.249301143583227,1.35997458703939,3.8301567132570944,7.439432443879712
Alarm,Castro/Upper Market,1.9930990578049401,1.3538579067990832,3.2139928698752227,6.5609498344792465
Alarm,Chinatown,2.313489952718676,1.4653073286052007,2.7864952718676124,6.565292553191489
Alarm,Excelsior,2.40859649122807,1.380050125313283,4.179649122807017,7.968295739348371
Alarm,Financial District/South Beach,1.945213772228528,1.4653575482406356,3.649928111993946,7.06049943246311
Alarm,Glen Park,2.242132505175983,1.429089026915114,3.9759316770186337,7.647153209109731
Alarm,Golden Gate Park,1.8924342105263157,1.40734649122807,3.9896929824561402,7.289473684210526
Alarm,Haight Ashbury,2.0496216216216214,1.3046126126126125,3.1056396396396395,6.459873873873874
Alarm,Hayes Valley,2.126519394316532,1.2874818502385397,2.947054552997303,6.361055797552376
Alarm,Inner Richmond,2.390233785822021,1.3427036199095024,3.5238876319758674,7.25682503770739
Alarm,Inner Sunset,2.2828755364806868,1.416909871244635,3.944549356223176,7.644334763948497
Alarm,Japantown,2.0089717046238786,1.243857832988268,3.1832298136645965,6.436059351276742
Alarm,Lakeshore,2.3135275900900902,1.4519284909909909,4.391117680180181,8.156573761261262
Alarm,Lincoln Park,3.870149253731343,1.507462686567164,6.16318407960199,11.540796019900496
Alarm,Lone Mountain/USF,2.1373178506375226,1.2953779599271402,3.1812841530054645,6.613979963570127
Alarm,Marina,1.9644923315860998,1.3558435255290235,3.3310036886041545,6.651339545719278
Alarm,McLaren Park,1.7900297619047618,1.453125,4.919791666666667,8.162946428571429
Alarm,Mission,2.2231420348738786,1.298764178093787,3.1475579820551887,6.669464195022854
Alarm,Mission Bay,2.1908256880733945,1.501926605504587,3.251269113149847,6.9440214067278285
Alarm,Nob Hill,1.827473897459872,1.257028206326944,2.8819152251831075,5.966417328969924
